latitude,longitude,elevation
50.93148,4.25587,77
50.93107,4.25656,77
50.93124,4.25671,78
50.93133,4.25675,78
50.93161,4.25682,78
50.93195,4.25686,77
50.93217,4.25699,76
50.9333,4.2592,73
50.93343,4.25941,73
50.93365,4.25993,72
50.9339,4.26044,72
50.93401,4.26055,72
50.93427,4.26072,71
50.93457,4.26085,72
50.93532,4.26106,73
50.93635,4.26141,72
50.9365,4.26147,72
50.93661,4.26154,72
50.93674,4.26164,73
50.93684,4.26177,72
50.93706,4.26209,71
50.93738,4.2627,71
50.93747,4.26285,71
50.93766,4.26308,68
50.93826,4.26358,68
50.93884,4.26385,64
50.93888,4.26392,64
50.93897,4.26407,65
50.93908,4.26428,65
50.93918,4.26463,65
50.93927,4.26482,65
50.93948,4.26501,63
50.94006,4.26542,62
50.94013,4.26546,61
50.94032,4.26574,59
50.94036,4.26626,59
50.94051,4.26759,59
50.94062,4.26868,58
50.94079,4.2692,56
50.94084,4.26935,56
50.94086,4.26954,56
50.94081,4.27085,55
50.94099,4.2719,54
50.94109,4.27231,53
50.94111,4.2725,53
50.94116,4.27342,54
50.94116,4.27402,54
50.94118,4.2746,54
50.94122,4.27503,53
50.94126,4.27523,53
50.94135,4.27548,53
50.94139,4.27566,53
50.94141,4.27587,53
50.94141,4.276,53
50.94135,4.27615,53
50.9412,4.27639,53
50.94109,4.27647,53
50.94096,4.27656,52
50.94088,4.27664,52
50.9427,4.28072,49
50.94277,4.28098,49
50.94298,4.28173,49
50.94322,4.28261,49
50.94341,4.28334,47
50.94384,4.28287,49
50.94423,4.28252,50
50.94693,4.28014,45
50.94789,4.2793,42
50.94798,4.27894,41
50.94809,4.27872,40
50.9482,4.27834,40
50.9483,4.27778,40
50.94839,4.27746,40
50.94852,4.27711,38
50.94895,4.27613,37
50.94905,4.27608,37
50.94914,4.27613,37
50.94938,4.27645,36
50.94955,4.2766,35
50.94965,4.2766,35
50.94985,4.27626,36
50.94998,4.27606,36
50.95066,4.27521,34
50.9509,4.27486,34
50.95096,4.27471,34
50.95109,4.2745,34
50.95116,4.27433,34
50.95154,4.27347,35
50.95161,4.27338,35
50.95176,4.27312,36
50.95191,4.27295,37
50.95242,4.27261,37
50.95255,4.27248,37
50.95268,4.27233,38
50.95296,4.27177,38
50.95313,4.27147,38
50.95337,4.27113,38
50.9535,4.27104,37
50.9536,4.27094,37
50.95371,4.27074,37
50.95377,4.27074,37
50.95489,4.26956,33
50.95578,4.26867,31
50.95613,4.26836,30
50.95633,4.26821,30
50.95659,4.26808,30
50.95682,4.26802,29
50.95704,4.26797,28
50.95741,4.26797,27
50.9576,4.2666,26
50.9576,4.2666,26
50.95766,4.26609,24
50.95822,4.2627,22
50.95839,4.26162,22
50.95875,4.25952,20
50.95892,4.25855,20
50.95968,4.25883,21
50.95998,4.2589,21
50.96023,4.2589,20
50.96079,4.25894,20
50.9612,4.2589,19
50.96134,4.25885,19
50.96181,4.25881,19
50.96217,4.2587,19
50.96239,4.2587,19
50.96268,4.25873,19
50.96373,4.25862,18
50.96405,4.25866,18
50.96341,4.25626,18
50.96319,4.25561,18
50.96306,4.25522,18
50.96302,4.25446,19
50.96298,4.25355,19
50.96292,4.25282,18
50.9629,4.25262,18
50.96307,4.25269,18
50.96414,4.25274,18
50.9659,4.25334,18
50.96697,4.25403,17
50.96714,4.25409,17
50.96734,4.25411,17
50.96931,4.25409,15
50.96946,4.25407,14
50.96959,4.25398,15
50.97002,4.25355,15
50.97013,4.25349,15
50.97025,4.25353,14
50.97047,4.25375,14
50.97073,4.25407,14
50.97085,4.2542,14
50.9709,4.25422,14
50.97094,4.2542,14
50.97116,4.25403,14
50.97126,4.254,14
50.97135,4.25403,14
50.97156,4.25413,13
50.97171,4.25418,13
50.97188,4.254,14
50.97214,4.25338,14
50.97259,4.2522,16
50.97281,4.25175,16
50.97259,4.25117,17
50.97242,4.25083,17
50.97409,4.24879,17
50.97405,4.24858,17
50.97405,4.24823,16
50.97409,4.248,16
50.97418,4.2478,16
50.97497,4.24641,18
50.97585,4.24463,21
50.97504,4.24373,21
50.97485,4.24351,21
50.97564,4.24186,22
50.97714,4.23884,27
50.97761,4.23952,27
50.98,4.243,26
50.98356,4.24817,21
50.98418,4.24907,19
50.98572,4.24675,22
50.98669,4.24523,20
50.98697,4.24489,20
50.98736,4.24431,19
50.98744,4.24409,19
50.98806,4.24205,21
50.98817,4.24188,21
50.98901,4.24081,21
50.98929,4.24055,22
50.98982,4.24012,21
50.99014,4.23987,21
50.99046,4.23961,20
50.9908,4.2393,20
50.99104,4.23895,20
50.99125,4.23864,20
50.99222,4.23744,19
50.99228,4.23743,19
50.99232,4.23741,19
50.99351,4.23499,16
50.99373,4.23469,16
50.99387,4.2346,15
50.99426,4.23434,16
50.99465,4.23397,15
50.99491,4.23364,15
50.99553,4.2327,14
50.99577,4.2324,14
50.99606,4.23218,14
50.99629,4.232,14
50.99662,4.23156,14
50.99693,4.23113,14
50.99705,4.23094,14
50.99754,4.23024,15
50.998,4.22974,14
50.99843,4.22924,14
50.99847,4.22915,14
50.99849,4.22906,14
50.99844,4.22897,14
50.99813,4.22856,14
50.99767,4.22781,15
50.99735,4.22759,15
50.99695,4.22747,15
50.99659,4.22732,16
50.99626,4.22683,17
50.99596,4.22628,18
50.99624,4.22594,19
50.99699,4.22508,22
50.99705,4.22497,22
50.99806,4.22384,29
50.99823,4.22381,29
50.99836,4.22375,29
50.99864,4.22369,28
50.99869,4.22388,28
50.99875,4.22407,27
50.99879,4.22411,27
50.99884,4.22422,27
50.99899,4.22441,28
50.99903,4.2245,27
50.99909,4.22479,27
50.99924,4.22504,26
50.99931,4.22517,26
50.99937,4.22529,27
50.99944,4.22547,27
50.99952,4.22559,27
50.99957,4.22568,27
50.99959,4.22575,26
50.99965,4.22592,25
50.99974,4.226,26
50.9998,4.22613,26
50.99989,4.22624,25
50.99993,4.22628,25
50.99999,4.2263,25
51.00012,4.22645,25
51.00023,4.22647,26
51.00025,4.22652,26
51.00032,4.22656,26
51.00042,4.22654,26
51.00066,4.22658,26
51.00068,4.22652,27
51.00075,4.22645,27
51.00081,4.22645,27
51.00094,4.22641,27
51.00102,4.22639,27
51.00107,4.22641,27
51.00128,4.22628,27
51.00128,4.22628,27
51.00154,4.22624,26
51.00175,4.22643,27
51.00212,4.22705,25
51.00227,4.22714,25
51.00231,4.2271,25
51.00242,4.22708,25
51.00255,4.2272,24
51.00261,4.22738,22
51.00276,4.2272,23
51.00298,4.22712,23
51.00311,4.22699,23
51.00317,4.22688,23
51.00336,4.22667,23
51.00343,4.22665,23
51.00351,4.2266,23
51.00356,4.22654,23
51.0036,4.2265,24
51.00364,4.22632,25
51.00371,4.22624,25
51.00377,4.2262,25
51.00386,4.22607,25
51.00392,4.22602,25
51.00394,4.22596,25
51.00399,4.22594,25
51.00407,4.22579,25
51.00439,4.22547,24
51.0045,4.22559,24
51.00482,4.22585,22
51.00495,4.22598,22
51.00502,4.22613,21
51.00504,4.22626,21
51.00508,4.22641,21
51.00514,4.22662,19
51.00529,4.22714,15
51.00532,4.22729,14
51.00596,4.2267,13
51.00639,4.22631,11
51.00755,4.22523,11
51.00832,4.22474,10
51.00841,4.22465,10
51.00846,4.22481,10
51.0086,4.22521,9
51.00873,4.22564,9
51.00879,4.22581,8
51.00909,4.22658,8
51.00922,4.2269,8
51.00976,4.22779,7
51.01017,4.22847,8
51.01063,4.22925,9
51.01085,4.22888,9
51.01203,4.2301,11
51.01227,4.23033,12
51.01282,4.23091,11
51.01289,4.23099,11
51.01299,4.23101,11
51.01422,4.23051,11
51.01426,4.22924,11
51.01431,4.2286,11
51.01433,4.22853,11
51.01437,4.22858,11
51.01446,4.22862,12
51.01467,4.22871,12
51.01471,4.22875,12
51.01476,4.2286,12
51.01476,4.22853,12
51.01476,4.22783,11
51.01474,4.22741,11
51.01467,4.22693,11
51.01469,4.2259,10
51.01469,4.22523,9
51.01471,4.22485,9
51.01484,4.22476,9
51.01557,4.22409,9
51.01617,4.2236,8
51.0171,4.22298,8
51.01748,4.22268,8
51.01793,4.22225,9
51.01823,4.22193,10
51.01853,4.2216,9
51.01873,4.22141,8
51.01875,4.22133,8
51.01899,4.22121,8
51.01945,4.22122,7
51.02089,4.22091,7
51.02124,4.22231,6
51.02237,4.22087,6
51.02274,4.22047,6
51.02345,4.21952,6
51.0245,4.21854,7
51.02465,4.21847,7
51.02473,4.21845,7
51.02478,4.21847,7
51.02536,4.2192,7
51.02544,4.21892,7
51.02555,4.21858,7
51.02664,4.21858,7
51.0271,4.21857,7
51.02808,4.21785,6
51.0281,4.21774,6
51.02828,4.21787,6
51.0283,4.21791,6
51.02834,4.21797,6
51.02821,4.21854,7
51.02785,4.2201,6
51.0278,4.22023,6
51.0278,4.22036,6
51.02785,4.22049,6
51.02787,4.22057,6
51.02789,4.22077,6
51.0278,4.22102,6
51.02767,4.22145,6
51.02748,4.22216,6
51.0275,4.22236,6
51.0274,4.22248,6
51.02683,4.22369,6
51.02673,4.2239,6
51.0266,4.22527,5
51.02645,4.22834,6
51.02682,4.22856,5
51.02703,4.22864,5
51.02744,4.22866,6
51.02778,4.22866,7
51.0277,4.22894,7
51.02748,4.22954,6
51.02727,4.23012,6
51.02722,4.23025,6
51.0272,4.23047,6
51.02727,4.23158,6
51.02731,4.23265,5
51.02735,4.23366,5
51.02755,4.23476,5
51.02759,4.23517,6
51.02765,4.23517,6
51.02773,4.23519,5
51.02821,4.23565,5
51.02885,4.2363,6
51.02894,4.23644,6
51.02898,4.23682,5
51.02914,4.23786,5
51.02918,4.23804,5
51.02939,4.23838,5
51.02948,4.23856,5
51.02954,4.23871,5
51.02958,4.23894,5
51.02958,4.23916,6
51.02933,4.24001,6
51.03068,4.24222,8
51.03089,4.24261,7
51.03102,4.24293,8
51.03115,4.24336,7
51.03128,4.2442,7
51.03137,4.24469,7
51.03141,4.24512,8
51.03141,4.24521,8
51.03152,4.24529,8
51.03218,4.24577,12
51.033,4.24634,16
51.03328,4.24656,17
51.03359,4.24623,19
51.03628,4.24346,11
51.03686,4.24293,7
51.03696,4.24277,6
51.03684,4.24119,5
51.03682,4.24104,6
51.0369,4.24066,5
51.03694,4.24059,5
51.03639,4.23947,3
51.03615,4.23897,3
51.03566,4.23802,4
51.03546,4.23757,4
51.03514,4.23671,4
51.03486,4.23598,4
51.03433,4.23429,4
51.03431,4.2342,4
51.0337,4.23231,4
51.03345,4.23148,4
51.0334,4.23132,4
51.03325,4.23105,4
51.03308,4.23081,4
51.03267,4.23034,6
51.03244,4.23008,6
51.03231,4.22991,6
51.03227,4.22982,6
51.03147,4.2272,3
51.03128,4.22656,4
51.03128,4.22641,4
51.03137,4.22566,4
51.0316,4.22562,4
51.03175,4.22557,4
51.03192,4.22551,4
51.03216,4.22538,3
51.03229,4.22532,3
51.03267,4.22534,3
51.03291,4.22538,3
51.03323,4.22534,3
51.03373,4.22506,4
51.03388,4.22495,4
51.03551,4.22396,4
51.03561,4.22384,4
51.03581,4.22347,4
51.03587,4.22336,4
51.03654,4.22244,5
51.0369,4.22197,5
51.03698,4.2219,5
51.03855,4.22047,5
51.03802,4.2201,5
51.0374,4.2198,3
51.03709,4.21961,3
51.03682,4.21939,3
51.03572,4.21841,3
51.0354,4.21815,3
51.03503,4.21766,3
51.03478,4.21718,4
51.03465,4.21688,4
51.03456,4.2166,4
51.03456,4.21652,4
51.03458,4.21645,4
51.03467,4.21639,4
51.03488,4.21615,4
51.03493,4.21609,4
51.03491,4.21581,4
51.03478,4.21478,5
51.03512,4.21444,5
51.03615,4.21371,4
51.03656,4.21289,4
51.03656,4.21289,4
51.03664,4.21289,4
51.03673,4.21296,4
51.03677,4.213,4
51.03684,4.21315,4
51.03688,4.21313,4
51.03694,4.21309,4
51.03694,4.21302,4
51.03697,4.21299,4
51.03701,4.21293,4
51.03703,4.21287,4
51.03703,4.21278,4
51.03705,4.21272,4
51.03709,4.21276,4
51.03714,4.21276,4
51.03727,4.21281,4
51.03746,4.21285,4
51.03772,4.21287,4
51.03744,4.21178,4
51.03746,4.21171,4
51.03922,4.20993,3
51.03954,4.20957,3
51.04061,4.20843,3
51.0416,4.2074,3
51.04119,4.20557,4
51.04118,4.20552,4
51.041,4.2048,3
51.0404,4.20296,4
51.04117,4.20229,4
51.04121,4.20229,4
51.04117,4.20212,4
51.04102,4.2018,4
51.04087,4.20154,4
51.0407,4.20135,4
51.04057,4.20115,4
51.04021,4.20038,4
51.03982,4.19965,4
51.03894,4.19809,4
51.0389,4.19804,4
51.03894,4.198,4
51.03913,4.19789,4
51.03933,4.19779,4
51.03963,4.19772,3
51.03991,4.19761,3
51.04029,4.19742,3
51.04064,4.19716,3
51.04076,4.19712,3
51.04085,4.19714,3
51.04119,4.19744,3
51.0413,4.19751,3
51.04139,4.19753,3
51.04147,4.19753,3
51.04158,4.19751,3
51.04169,4.19744,3
51.04252,4.19684,3
51.04317,4.1962,2
51.04321,4.19613,2
51.04297,4.19588,2
51.04274,4.19551,2
51.04276,4.19545,2
51.04308,4.1945,1
51.04334,4.1939,1
51.04336,4.19379,1
51.04332,4.19362,1
51.0433,4.19352,1
51.04332,4.19341,2
51.04347,4.19313,2
51.04388,4.19268,2
51.04405,4.19246,2
51.04433,4.19206,2
51.04443,4.19195,2
51.04501,4.19163,2
51.04508,4.19156,2
51.04574,4.19212,1
51.04634,4.19274,3
51.04671,4.19328,3
51.04729,4.19425,3
51.04761,4.19487,3
51.04791,4.19553,3
51.04821,4.19616,3
51.04975,4.19429,1
51.04982,4.19403,1
51.05014,4.19461,1
51.05087,4.19566,1
51.05111,4.19598,1
51.05126,4.19613,1
51.05164,4.19639,1
51.05181,4.19658,2
51.05216,4.19699,2
51.05252,4.19751,2
51.05254,4.19755,2
51.05254,4.19764,2
51.05248,4.19776,2
51.05201,4.19832,3
51.05214,4.19843,3
51.05364,4.20025,1
51.05375,4.20006,1
51.05381,4.19995,1
51.05385,4.19992,1
51.0539,4.19991,1
51.05396,4.19995,1
51.05482,4.20077,2
51.05493,4.20081,2
51.05512,4.20079,2
51.05525,4.2009,3
51.05548,4.20103,3
51.05555,4.20103,3
51.05585,4.20077,3
51.05598,4.20111,3
51.05608,4.201,3
51.05615,4.20096,3
51.0566,4.20096,3
51.0566,4.20106,3
51.05666,4.20111,3
51.05675,4.20111,3
51.05681,4.20122,3
51.05692,4.2013,3
51.05701,4.20133,3
51.05718,4.20126,3
51.05733,4.20122,3
51.05782,4.20133,3
51.05846,4.20175,4
51.05868,4.20186,4
51.05883,4.20188,4
51.05913,4.2018,3
51.05924,4.2018,3
51.05941,4.20182,3
51.0595,4.20184,3
51.05963,4.20182,3
51.05971,4.20169,3
51.0599,4.20128,3
51.06014,4.20096,3
51.0602,4.20081,3
51.06035,4.20019,3
51.06091,4.19785,3
51.06091,4.19766,3
51.06085,4.19736,3
51.06093,4.19691,3
51.06123,4.1954,5
51.06134,4.19459,5
51.06136,4.19377,6
51.06128,4.19345,6
51.06087,4.19227,5
51.06068,4.1918,5
51.0604,4.19128,5
51.05997,4.19051,4
51.05993,4.19034,4
51.0599,4.19017,4
51.06003,4.18985,3
51.06005,4.18944,3
51.0601,4.18929,3
51.06012,4.1891,3
51.06025,4.18864,3
